Little Machine Beer,4.5,2924 W 20th Ave,Denver,CO,80211,(303) 284-7893,39.74731,-105.02434,https://www.yelp.com/biz/little-machine-beer-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Zuni Street Brewing Company,4.5,2355 W 29th Ave,Denver,CO,80211,(303) 862-6525,39.7586322827364,-105.015283493196,https://www.yelp.com/biz/zuni-street-brewing-company-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Wit's End Brewing Company,4.5,1330 Zuni St,Denver,CO,80204,(303) 459-4379,39.73725,-105.01524,https://www.yelp.com/biz/wits-end-brewing-company-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Strange Craft Beer Company,4,1330 Zuni St,Denver,CO,80204,(720) 985-2337,39.7372425522548,-105.014891153933,https://www.yelp.com/biz/strange-craft-beer-company-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Our Mutual Friend Brewing Company,4,2810 Larimer St,Denver,CO,80205,(303) 296-3441,39.76057,-104.98221,https://www.yelp.com/biz/our-mutual-friend-brewing-company-denver-2?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Briar Common Brewery + Eatery,4,2298 Clay St,Denver,CO,80211,(720) 512-3894,39.7510487661208,-105.020291119034,https://www.yelp.com/biz/briar-common-brewery-eatery-denver-3?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Blue Moon Brewing Company,4,3750 Chestnut Pl,Denver,CO,80216,(303) 728-2337,39.7737268446,-104.977273335194,https://www.yelp.com/biz/blue-moon-brewing-company-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Diebolt Brewing Company,4.5,3855 Mariposa St,Denver,CO,80211,(720) 643-5940,39.7704022842125,-105.003151401392,https://www.yelp.com/biz/diebolt-brewing-company-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Pints Pub,3.5,221 W 13th Ave,Denver,CO,80204,(303) 534-7543,39.73698,-104.99087,https://www.yelp.com/biz/pints-pub-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Ratio Beerworks,4,2920 Larimer St,Denver,CO,80205,(303) 997-8288,39.761478,-104.981048,https://www.yelp.com/biz/ratio-beerworks-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Oskar Blues - Denver,4,1624 Market St,Denver,CO,80202,(720) 502-3535,39.7500376533258,-104.997868433743,https://www.yelp.com/biz/oskar-blues-denver-denver-3?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
TRVE Brewing,4,227 Broadway,Denver,CO,80203,(303) 351-1021,39.719922,-104.987687,https://www.yelp.com/biz/trve-brewing-denver-2?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
The Intrepid Sojourner Beer Project,4.5,925 W 8th Ave,Denver,CO,80204,(720) 572-5172,39.72911,-104.99923,https://www.yelp.com/biz/the-intrepid-sojourner-beer-project-denver-2?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Tivoli Brewing Company,3.5,900 Auraria Pkwy,Denver,CO,80204,(720) 458-5885,39.7450774,-105.005976,https://www.yelp.com/biz/tivoli-brewing-company-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Beryl's Beer Co.,4.5,3120 Blake St,Denver,CO,80205,(720) 420-0826,39.7648113,-104.9801861,https://www.yelp.com/biz/beryls-beer-co-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Factotum Brewhouse,4.5,3845 Lipan St,Denver,CO,80211,(720) 441-4735,39.7702789,-105.0021515,https://www.yelp.com/biz/factotum-brewhouse-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Baere Brewing Company,4.5,320 Broadway,Denver,CO,80203,(303) 733-3354,39.721382361761,-104.987187206748,https://www.yelp.com/biz/baere-brewing-company-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Colorado Cider,4.5,2650 W 2nd Ave,Denver,CO,80219,(303) 759-3560,39.718997,-105.0196135,https://www.yelp.com/biz/colorado-cider-denver?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
Joyride Brewing,4,2501 Sheridan Blvd,Edgewater,CO,80214,(720) 432-7560,39.7532077,-105.053674,https://www.yelp.com/biz/joyride-brewing-edgewater-3?adjust_creative=Ui9pPBc_D0qHIFxBZAlvSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ui9pPBc_D0qHIFxBZAlvSw
