60 Minute IPA,6,60,IPA - American,"60 Minute IPA is continuously hopped -- more than 60 hop additions over a 60-minute boil Getting a vibe of where the name came from 60 Minute is brewed with a slew of great Northwest hops A powerful but balanced East Coast IPA with a lot of citrusy hop character its the session beer for hardcore enthusiasts!",https://untappd.akamaized.net/site/beer_logos/beer-3952_24028_sm.jpeg,Dogfish Head Craft Brewery,Regional Brewery,Milton,DE,38.7776,-75.3099,https://untappd.akamaized.net/site/brewery_logos/brewery-459_7c86a.jpeg,http://www.dogfish.com/
90 Minute IPA,9,90,IPA - Imperial / Double,"Esquire Magazine calls our 90 Minute IPA perhaps the best IPA in America An imperial IPA best savored from a snifter 90 Minute has a great malt backbone that stands up to the extreme hopping rate ",https://untappd.akamaized.net/site/beer_logos/beer-8056_7fcfd_sm.jpeg,Dogfish Head Craft Brewery,Regional Brewery,Milton,DE,38.7776,-75.3099,https://untappd.akamaized.net/site/brewery_logos/brewery-459_7c86a.jpeg,http://www.dogfish.com/
A Little Sumpin' Sumpin' Ale,7.5,65,Pale Wheat Ale - American,"A truly unique style featuring a strong hop finish on a silky body A filtered pale wheat ale that is great for both IPA and wheat beer fansrn",https://untappd.akamaized.net/site/beer_logos/beer-25796_43b95_sm.jpeg,Lagunitas Brewing Company,Macro Brewery,Petaluma,CA,38.2724,-122.662,https://untappd.akamaized.net/site/brewery_logos/brewery-765_b53eb.jpeg,http://www.LAGUNITAS.com/
Punk IPA,5.6,35,IPA - American,"Welcome to a post Punk apocalyptic mother fucker of a pale alernrnA beer that spent its formative years Blitzkrieg bopping around India and the sub continent Quintessential Empire with an anarchic twistrnrnGod save the Queen and all who sail in her Raising a Stiff Little Finger to IPAs that have come before and those it is yet to meetrnrnTurn up the volume Pay the man Embrace the punked up fucked up outlaw eliternrnNever Mind the Bollocks this is the real shitrnrnMaltsrnMarris Otter Extra PalernrnHopsrnChinook Simcoe Ahtanum Nelson Sauvin",https://untappd.akamaized.net/site/beer_logos/beer-5702_7d1d7_sm.jpeg,BrewDog,Micro Brewery,Ellon,Aberdeenshire,57.3716,-2.04834,https://untappd.akamaized.net/site/brewery_logos/brewery-241_8c584.jpeg,http://www.brewdog.com
Lagunitas Sucks,8,63,IPA - Imperial / Double,"This beer is a cereal medley of barley rye wheat and oats Full of complexishness from the 4 grains then joyously dry-hopped for that big aroma and resinous flavor",https://untappd.akamaized.net/site/beer_logos/beer-285026_b50eb_sm.jpeg,Lagunitas Brewing Company,Macro Brewery,Petaluma,CA,38.2724,-122.662,https://untappd.akamaized.net/site/brewery_logos/brewery-765_b53eb.jpeg,http://www.LAGUNITAS.com/
Centennial IPA,7.2,65,IPA - American,"Bask in the head’s floral bouquet Relish citrus accents from dry hopping Sweet yet balanced with a finish that never turns too bitter",https://untappd.akamaized.net/site/beer_logos/beer-1456_a771f_sm.jpeg,Founders Brewing Co.,Regional Brewery,Grand Rapids,MI,42.9585,-85.6735,https://untappd.akamaized.net/site/brewery_logos/brewery-549_53a84.jpeg,http://www.foundersbrewing.com/
Space Dust IPA,8.2,62,IPA - American,"Space Dust  A Totally Nebular IPA Great Western premium two-row combined with c-15 and Dextri-Pils give this beer a bright and galactic Milky Way hue  The hopping is pure starglow energy with Chinook to bitter and late and dry additions of Citra and Amarillo  Space Dust is out of this world with 62 IBU and 72 ABV",https://untappd.akamaized.net/site/beer_logos/beer-121023_49ff7_sm.jpeg,Elysian Brewing Company,Macro Brewery,Seattle,WA,47.614,-122.316,https://untappd.akamaized.net/site/brewery_logos/brewery-7294_df657.jpeg,http://www.elysianbrewing.com/
Sip of Sunshine,8,65,IPA - Imperial / Double,"This lupulin-ladin India Pale Ale is packed with juicy tropical fruit character bright floral aromas and delectable layers of hop flavor Pour mindfully inhale deeply and enjoy a tropical vacation in a glass Always store cold enjoy fresh and stay cool!nSip of Sunshine IPA is brewed by Lawson’s Finest Liquids at Two Roads Brewing Co in Stratford CT",https://untappd.akamaized.net/site/beer_logos/beer-636664_99f89_sm.jpeg,Lawson's Finest Liquids,Micro Brewery,Warren,VT,44.1145,-72.8561,https://untappd.akamaized.net/site/brewery_logos/brewery-3758_07d3b.jpeg,http://www.lawsonsfinest.com
Citradelic: Tangerine IPA,6,50,IPA - American,"Tune in and hop out with New Belgium Citradelic Set adrift on a kaleidoscopic wave of hoppiness brought to you by a mystical marriage of Citra hops and tangerine peel which elevates each sip onto a plane of pure tropical fruity pleasurernCitradelic’s namesake hop and fruit combine to jam with visions of additional hops like citrusy Mandarina Bavaria tropical Azzaca and fruity Galaxy for a colorful explosion that’s grounded by just a touch of malty sweetness Bored by the status quo Expand your palate with a pour of CitradelicrnrnHops - Nugget Crystal Centennial Azzaca Cascade Citra Chinook Galaxy Mandarina Bavaria SimcoernrnMatls - Pale Caramel 120 rnrnTangerine infused orange peel",https://untappd.akamaized.net/site/beer_logos/beer-1139170_ff43b_sm.jpeg,New Belgium Brewing Company,Regional Brewery,Fort Collins,CO,40.5934,-105.067,https://untappd.akamaized.net/site/brewery_logos/brewery-905_2ddc7.jpeg,http://www.newbelgium.com
Stone Delicious IPA,7.7,75,IPA - American,"An intensely citrusy beautifully bitter beer worthy of the simple-yet-lordly title of Stone Delicious IPA Lemondrop and El Dorado hops combine to bring on a magnificent lemon candy-like flavor thats balanced by hop spice Delicious is crafted to reduce gluten",https://untappd.akamaized.net/site/beer_logos/beer-392748_79ec0_sm.jpeg,Stone Brewing,Regional Brewery,Escondido,CA,33.1157,-117.12,https://untappd.akamaized.net/site/brewery_logos/brewery-1204_23541.jpeg,http://www.stonebrewing.com/
